,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
172,400,14.0,903,0.020707900053821504,"[1, 1, 0, 0, 0, 0, 0, 0]",300,0.4,500
173,500,14.0,903,0.020707900053821504,"[1, 1, 0, 0, 0, 0, 0, 0]",300,0.4,500
174,0,3.0,300,0.00308009993750602,"[0, 1, 0, 0, 0, 1, 0, 0]",300,0.5,500
175,100,14.0,903,0.018999999971129,"[1, 1, 0, 0, 0, 0, 0, 0]",300,0.5,500
176,200,14.0,903,0.018999999971129,"[1, 1, 0, 0, 0, 0, 0, 0]",300,0.5,500
177,300,14.0,903,0.018999999971129,"[1, 1, 0, 0, 0, 0, 0, 0]",300,0.5,500
178,400,14.0,903,0.018999999971129,"[1, 1, 0, 0, 0, 0, 0, 0]",300,0.5,500
179,500,14.0,903,0.018999999971129,"[1, 1, 0, 0, 0, 0, 0, 0]",300,0.5,500
180,0,3.0,350,0.002809800091199577,"[0, 1, 0, 0, 0, 1, 0, 0]",350,0.1,500
181,100,14.0,1053,0.021055400022305548,"[0, 0, 0, 0, 0, 0, 1, 1]",350,0.1,500
182,200,14.0,1053,0.021055400022305548,"[0, 0, 0, 0, 0, 0, 1, 1]",350,0.1,500
183,300,14.0,1053,0.021055400022305548,"[0, 0, 0, 0, 0, 0, 1, 1]",350,0.1,500
184,400,14.0,1053,0.021055400022305548,"[0, 0, 0, 0, 0, 0, 1, 1]",350,0.1,500
185,500,14.0,1053,0.021055400022305548,"[0, 0, 0, 0, 0, 0, 1, 1]",350,0.1,500
186,0,3.0,350,0.0028880999889224768,"[0, 1, 0, 0, 0, 1, 0, 0]",350,0.2,500
187,100,14.0,1053,0.021237700013443828,"[1, 1, 0, 0, 0, 0, 0, 0]",350,0.2,500
188,200,14.0,1053,0.021237700013443828,"[1, 1, 0, 0, 0, 0, 0, 0]",350,0.2,500
189,300,14.0,1053,0.021237700013443828,"[1, 1, 0, 0, 0, 0, 0, 0]",350,0.2,500
190,400,14.0,1053,0.021237700013443828,"[1, 1, 0, 0, 0, 0, 0, 0]",350,0.2,500
191,500,14.0,1053,0.021237700013443828,"[1, 1, 0, 0, 0, 0, 0, 0]",350,0.2,500
192,0,3.0,350,0.002871899981983006,"[0, 1, 0, 0, 0, 1, 0, 0]",350,0.3,500
193,100,14.0,1053,0.021296899998560548,"[1, 1, 0, 0, 0, 0, 0, 0]",350,0.3,500
194,200,14.0,1053,0.021296899998560548,"[1, 1, 0, 0, 0, 0, 0, 0]",350,0.3,500
195,300,14.0,1053,0.021296899998560548,"[1, 1, 0, 0, 0, 0, 0, 0]",350,0.3,500
196,400,14.0,1053,0.021296899998560548,"[1, 1, 0, 0, 0, 0, 0, 0]",350,0.3,500
197,500,14.0,1053,0.021296899998560548,"[1, 1, 0, 0, 0, 0, 0, 0]",350,0.3,500
198,0,3.0,350,0.0028664000565186143,"[0, 1, 0, 0, 0, 1, 0, 0]",350,0.4,500
199,100,14.0,1053,0.021220599999651313,"[1, 1, 0, 0, 0, 0, 0, 0]",350,0.4,500
200,200,14.0,1053,0.021220599999651313,"[1, 1, 0, 0, 0, 0, 0, 0]",350,0.4,500
201,300,14.0,1053,0.021220599999651313,"[1, 1, 0, 0, 0, 0, 0, 0]",350,0.4,500
202,400,14.0,1053,0.021220599999651313,"[1, 1, 0, 0, 0, 0, 0, 0]",350,0.4,500
203,500,14.0,1053,0.021220599999651313,"[1, 1, 0, 0, 0, 0, 0, 0]",350,0.4,500
204,0,3.0,350,0.0028704000869765878,"[0, 1, 0, 0, 0, 1, 0, 0]",350,0.5,500
205,100,14.0,1053,0.021900000050663948,"[0, 0, 0, 0, 0, 0, 1, 1]",350,0.5,500
206,200,14.0,1053,0.021900000050663948,"[0, 0, 0, 0, 0, 0, 1, 1]",350,0.5,500
207,300,14.0,1053,0.021900000050663948,"[0, 0, 0, 0, 0, 0, 1, 1]",350,0.5,500
208,400,14.0,1053,0.021900000050663948,"[0, 0, 0, 0, 0, 0, 1, 1]",350,0.5,500
209,500,14.0,1053,0.021900000050663948,"[0, 0, 0, 0, 0, 0, 1, 1]",350,0.5,500
210,0,3.0,400,0.0032493999460712075,"[0, 1, 0, 0, 0, 1, 0, 0]",400,0.1,500
211,100,14.0,1203,0.02792380005121231,"[1, 1, 1, 1, 1, 1, 0, 0]",400,0.1,500
212,200,14.0,1203,0.02792380005121231,"[1, 1, 1, 1, 1, 1, 0, 0]",400,0.1,500
213,300,14.0,1203,0.02792380005121231,"[1, 1, 1, 1, 1, 1, 0, 0]",400,0.1,500
214,400,14.0,1203,0.02792380005121231,"[1, 1, 1, 1, 1, 1, 0, 0]",400,0.1,500
215,500,14.0,1203,0.02792380005121231,"[1, 1, 1, 1, 1, 1, 0, 0]",400,0.1,500
216,0,3.0,400,0.003531399997882545,"[0, 1, 0, 0, 0, 1, 0, 0]",400,0.2,500
217,100,14.0,1203,0.027245900011621416,"[1, 1, 1, 1, 1, 1, 0, 0]",400,0.2,500
218,200,14.0,1203,0.027245900011621416,"[1, 1, 1, 1, 1, 1, 0, 0]",400,0.2,500
219,300,14.0,1203,0.027245900011621416,"[1, 1, 1, 1, 1, 1, 0, 0]",400,0.2,500
220,400,14.0,1203,0.027245900011621416,"[1, 1, 1, 1, 1, 1, 0, 0]",400,0.2,500
221,500,14.0,1203,0.027245900011621416,"[1, 1, 1, 1, 1, 1, 0, 0]",400,0.2,500
222,0,3.0,400,0.003963099909015,"[0, 1, 0, 0, 0, 1, 0, 0]",400,0.3,500
223,100,14.0,1203,0.02812089992221445,"[0, 0, 1, 1, 1, 1, 1, 1]",400,0.3,500
224,200,14.0,1203,0.02812089992221445,"[0, 0, 1, 1, 1, 1, 1, 1]",400,0.3,500
225,300,14.0,1203,0.02812089992221445,"[0, 0, 1, 1, 1, 1, 1, 1]",400,0.3,500
226,400,14.0,1203,0.02812089992221445,"[0, 0, 1, 1, 1, 1, 1, 1]",400,0.3,500
227,500,14.0,1203,0.02812089992221445,"[0, 0, 1, 1, 1, 1, 1, 1]",400,0.3,500
228,0,3.0,400,0.0035276999697089195,"[0, 1, 0, 0, 0, 1, 0, 0]",400,0.4,500
229,100,14.0,1203,0.027921199914999306,"[0, 0, 0, 0, 0, 0, 1, 1]",400,0.4,500
230,200,14.0,1203,0.027921199914999306,"[0, 0, 0, 0, 0, 0, 1, 1]",400,0.4,500
231,300,14.0,1203,0.027921199914999306,"[0, 0, 0, 0, 0, 0, 1, 1]",400,0.4,500
232,400,14.0,1203,0.027921199914999306,"[0, 0, 0, 0, 0, 0, 1, 1]",400,0.4,500
233,500,14.0,1203,0.027921199914999306,"[0, 0, 0, 0, 0, 0, 1, 1]",400,0.4,500
234,0,3.0,400,0.003589599975384772,"[0, 1, 0, 0, 0, 1, 0, 0]",400,0.5,500
235,100,14.0,1203,0.02836400002706796,"[1, 1, 1, 1, 1, 1, 0, 0]",400,0.5,500
236,200,14.0,1203,0.02836400002706796,"[1, 1, 1, 1, 1, 1, 0, 0]",400,0.5,500
237,300,14.0,1203,0.02836400002706796,"[1, 1, 1, 1, 1, 1, 0, 0]",400,0.5,500
238,400,14.0,1203,0.02836400002706796,"[1, 1, 1, 1, 1, 1, 0, 0]",400,0.5,500
239,500,14.0,1203,0.02836400002706796,"[1, 1, 1, 1, 1, 1, 0, 0]",400,0.5,500
