,Iteration,Fitness,FEvals,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
91,100,14.0,603,0.03131120000034571,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]",False,200,0.1,500
92,200,14.0,603,0.03131120000034571,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]",False,200,0.1,500
93,300,14.0,603,0.03131120000034571,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]",False,200,0.1,500
94,400,14.0,603,0.03131120000034571,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]",False,200,0.1,500
95,500,14.0,603,0.03131120000034571,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]",False,200,0.1,500
96,0,3.0,200,0.0017663000617176294,"[0, 1, 0, 0, 0, 1, 0, 0]",False,200,0.2,500
97,100,14.0,603,0.03031679999548942,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]",False,200,0.2,500
98,200,14.0,603,0.03031679999548942,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]",False,200,0.2,500
99,300,14.0,603,0.03031679999548942,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]",False,200,0.2,500
100,400,14.0,603,0.03031679999548942,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]",False,200,0.2,500
101,500,14.0,603,0.03031679999548942,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]",False,200,0.2,500
102,0,3.0,200,0.001689000055193901,"[0, 1, 0, 0, 0, 1, 0, 0]",False,200,0.3,500
103,100,14.0,603,0.029426700086332858,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]",False,200,0.3,500
104,200,14.0,603,0.029426700086332858,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]",False,200,0.3,500
105,300,14.0,603,0.029426700086332858,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]",False,200,0.3,500
106,400,14.0,603,0.029426700086332858,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]",False,200,0.3,500
107,500,14.0,603,0.029426700086332858,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]",False,200,0.3,500
108,0,3.0,200,0.0016877000452950597,"[0, 1, 0, 0, 0, 1, 0, 0]",False,200,0.4,500
109,100,14.0,603,0.02971060003619641,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,200,0.4,500
110,200,14.0,603,0.02971060003619641,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,200,0.4,500
111,300,14.0,603,0.02971060003619641,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,200,0.4,500
112,400,14.0,603,0.02971060003619641,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,200,0.4,500
113,500,14.0,603,0.02971060003619641,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,200,0.4,500
114,0,3.0,200,0.001725599984638393,"[0, 1, 0, 0, 0, 1, 0, 0]",False,200,0.5,500
115,100,14.0,603,0.029793799971230328,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,200,0.5,500
116,200,14.0,603,0.029793799971230328,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,200,0.5,500
117,300,14.0,603,0.029793799971230328,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,200,0.5,500
118,400,14.0,603,0.029793799971230328,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,200,0.5,500
119,500,14.0,603,0.029793799971230328,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,200,0.5,500
120,0,3.0,250,0.002073500072583556,"[0, 1, 0, 0, 0, 1, 0, 0]",False,250,0.1,500
121,100,14.0,753,0.029959400068037212,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,250,0.1,500
122,200,14.0,753,0.029959400068037212,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,250,0.1,500
123,300,14.0,753,0.029959400068037212,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,250,0.1,500
124,400,14.0,753,0.029959400068037212,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,250,0.1,500
125,500,14.0,753,0.029959400068037212,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,250,0.1,500
126,0,3.0,250,0.0020935999928042293,"[0, 1, 0, 0, 0, 1, 0, 0]",False,250,0.2,500
127,100,14.0,753,0.03008559998124838,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,250,0.2,500
128,200,14.0,753,0.03008559998124838,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,250,0.2,500
129,300,14.0,753,0.03008559998124838,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,250,0.2,500
130,400,14.0,753,0.03008559998124838,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,250,0.2,500
131,500,14.0,753,0.03008559998124838,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,250,0.2,500
132,0,3.0,250,0.002074599964544177,"[0, 1, 0, 0, 0, 1, 0, 0]",False,250,0.3,500
133,100,14.0,753,0.029730599955655634,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,250,0.3,500
134,200,14.0,753,0.029730599955655634,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,250,0.3,500
135,300,14.0,753,0.029730599955655634,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,250,0.3,500
136,400,14.0,753,0.029730599955655634,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,250,0.3,500
137,500,14.0,753,0.029730599955655634,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,250,0.3,500
138,0,3.0,250,0.0020707000512629747,"[0, 1, 0, 0, 0, 1, 0, 0]",False,250,0.4,500
139,100,14.0,753,0.03110899997409433,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,250,0.4,500
140,200,14.0,753,0.03110899997409433,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,250,0.4,500
141,300,14.0,753,0.03110899997409433,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,250,0.4,500
142,400,14.0,753,0.03110899997409433,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,250,0.4,500
143,500,14.0,753,0.03110899997409433,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,250,0.4,500
144,0,3.0,250,0.0021196999587118626,"[0, 1, 0, 0, 0, 1, 0, 0]",False,250,0.5,500
145,100,14.0,753,0.03124389995355159,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,250,0.5,500
146,200,14.0,753,0.03124389995355159,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,250,0.5,500
147,300,14.0,753,0.03124389995355159,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,250,0.5,500
148,400,14.0,753,0.03124389995355159,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,250,0.5,500
149,500,14.0,753,0.03124389995355159,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,250,0.5,500
